ACN,source,matched_searches,Date,Aircraft_fields,Component_fields,Person_fields,Events_fields,Assessments_fields,Narrative,Synopsis,review_flag
2000321,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Aircraft Operator : Air Carrier |  Make Model Name : B777-200 |  Crew Size.Number Of Crew : 2 |  Operating Under FAR Part : Part 121 |  Flight Plan : IFR |  Mission : Passenger |  Flight Phase : Parked |  Maintenance Status.Maintenance Deferred : Y |  Maintenance Status.Records Complete : N |  Maintenance Status.Released For Service : Y |  Maintenance Status.Required / Correct Doc On Board : N |  Maintenance Status.Maintenance Type : Unscheduled Maintenance |  Maintenance Status.Maintenance Items Involved : Testing |  Maintenance Status.Maintenance Items Involved : Inspection |  | Component : 1 |  Aircraft Component : AC Generator/Alternator |  Aircraft Reference : X |  Problem : Malfunctioning |  | Component : 2 |  Aircraft Component : Minimum Equipment List (MEL) |  Aircraft Reference : X |  Problem : Improperly Operated |  | Component : 3 |  Aircraft Component : Aircraft Logbook(s) |  Aircraft Reference : X |  Problem : Improperly Operated,,Location Of Person : Hangar / Base |  Reporter Organization : Air Carrier |  Function.Maintenance : Technician |  Qualification.Maintenance : Airframe |  Qualification.Maintenance : Powerplant |  ASRS Report Number.Accession Number : 2000321 |  Human Factors : Communication Breakdown |  Human Factors : Situational Awareness |  Human Factors : Troubleshooting |  Human Factors : Human-Machine Interface |  Communication Breakdown.Party1 : Maintenance |  Communication Breakdown.Party2 : Flight Crew,Anomaly.Aircraft Equipment Problem : Critical |  Anomaly.Deviation / Discrepancy - Procedural : MEL / CDL |  Anomaly.Deviation / Discrepancy - Procedural : Maintenance |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Anomaly.Deviation / Discrepancy - Procedural : FAR |  Detector.Automation : Aircraft Other Automation |  Detector.Person : Maintenance |  When Detected : Aircraft In Service At Gate |  When Detected : In-flight |  Result.General : Flight Cancelled / Delayed |  Result.General : Maintenance Action,Contributing Factors / Situations : Aircraft |  Contributing Factors / Situations : Human Factors |  Contributing Factors / Situations : Procedure |  Primary Problem : Human Factors,Aircraft X was in ZZZ and had a fault on the Integrated drive generator and an ELEC GEN OFF EICAS Advisory message. The techs applied MEL 24-XX-X. There is concern with the T/S.,Technician reported concerns over trouble shooting and the correct application of an MEL while working in a B777-200.,
2005229,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Aircraft Operator : Air Carrier |  Make Model Name : B747-400 |  Crew Size.Number Of Crew : 2 |  Operating Under FAR Part : Part 121 |  Flight Plan : IFR |  Mission : Cargo / Freight / Delivery |  Flight Phase : Parked |  Maintenance Status.Maintenance Deferred : Y |  Maintenance Status.Records Complete : Y |  Maintenance Status.Released For Service : Y |  Maintenance Status.Required / Correct Doc On Board : Y |  Maintenance Status.Maintenance Type : Scheduled Maintenance |  Maintenance Status.Maintenance Items Involved : Repair |  Maintenance Status.Maintenance Items Involved : Inspection |  | Component : 1 |  Aircraft Component : Drinkable/Waste Water Syst |  Aircraft Reference : X |  Problem : Malfunctioning |  Problem : Improperly Operated |  | Component : 2 |  Aircraft Component : Minimum Equipment List (MEL) |  Aircraft Reference : X |  Problem : Improperly Operated |  | Component : 3 |  Aircraft Component : Aircraft Logbook(s) |  Aircraft Reference : X |  Problem : Improperly Operated,,Location Of Person : Hangar / Base |  Reporter Organization : Air Carrier |  Function.Maintenance : Technician |  Qualification.Maintenance : Airframe |  Qualification.Maintenance : Powerplant |  Experience.Maintenance.Lead Technician : 10 |  Experience.Maintenance.Technician : 10 |  ASRS Report Number.Accession Number : 2005229 |  Human Factors : Communication Breakdown |  Human Factors : Troubleshooting |  Communication Breakdown.Party1 : Maintenance |  Communication Breakdown.Party2 : Other,Anomaly.Aircraft Equipment Problem : Critical |  Anomaly.Deviation / Discrepancy - Procedural : Maintenance |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Anomaly.Deviation / Discrepancy - Procedural : MEL / CDL |  Detector.Person : Other Person |  Detector.Person : Flight Crew |  Were Passengers Involved In Event : N |  When Detected : Pre-flight |  When Detected : Aircraft In Service At Gate |  When Detected : Routine Inspection |  Result.General : Flight Cancelled / Delayed,Contributing Factors / Situations : Aircraft |  Contributing Factors / Situations : Human Factors |  Contributing Factors / Situations : Procedure |  Primary Problem : Procedure,"Aircraft X arrived in ZZZ1 for a fuel and tech stop upon post and pre-flight inspection Maintenance tech found water pouring out of the CAC door area the Maintenance tech contacted Maintenance control and advised them of the finding. They were informed to deferred maintenance instruction and deactivate the water system and keep the plane moving to next stop, after which the aircraft was going to ZZZ for Maintenance and will be addressed. The aircraft arrived in ZZZ on Date 1 and the Maintenance Manager of ZZZ told ZZZ staff to not get into anything and keep the plane green and they just wrote off the leak as not found. When asked if they worked it, he threatened myself saying he would never put his team on the spot again, and is releasing the aircraft into service with a known leak into a compartment that has computers and Inertial Reference Units (IRU). Company has very poor to no accountability and zero concerns from FAA as they always seem to get out of any investigation here is the email First off understand the following: That Plane was never supposed to come here. They had no place to park in ZZZ2 and asked if we can make room for it at the very last minute. We were told to not work anything since everything was planned for another station but, we elected to. The plan was to keep the plane Green so that we didn't risk starting something that could potentially AOG the plane. Don't you ever put my team on the spot like that ever again. I understand they didn't find a leak but this is what's causing the brake problems. The computers are soaked in flight the system gets serviced and with the APU running its pouring water. And if they did do any looking the cooling duct for the brake computer would be obvious it's laying in the water under the rack.","Maintenance Manager reported non compliance with MEL procedure and incorrect maintenance practices led to water leaking into the Lower avionics compartment, causing system failures on a B747 aircraft.",
2008352,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Aircraft Operator : Air Carrier |  Make Model Name : B737 MAX 8 |  Operating Under FAR Part : Part 121 |  Mission : Passenger |  Flight Phase : Parked |  Maintenance Status.Maintenance Type : Unscheduled Maintenance,Aircraft Component : Turbine Engine Thrust Reverser |  Aircraft Reference : X |  Problem : Malfunctioning,Location Of Person : Gate / Ramp / Line |  Reporter Organization : Contracted Service |  Function.Maintenance : Technician |  Qualification.Maintenance : Powerplant |  Qualification.Maintenance : Airframe |  ASRS Report Number.Accession Number : 2008352 |  Human Factors : Training / Qualification |  Human Factors : Time Pressure |  Human Factors : Distraction Location Of Person : Gate / Ramp / Line |  Reporter Organization : Contracted Service |  Function.Maintenance : Technician |  Qualification.Maintenance : Powerplant |  Qualification.Maintenance : Airframe |  ASRS Report Number.Accession Number : 2008353 |  Human Factors : Time Pressure |  Human Factors : Distraction |  Human Factors : Training / Qualification,Anomaly.Aircraft Equipment Problem : Critical |  Anomaly.Deviation / Discrepancy - Procedural : Maintenance |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Anomaly.Deviation / Discrepancy - Procedural : MEL / CDL |  Anomaly.Deviation / Discrepancy - Procedural : FAR |  Detector.Person : Maintenance |  When Detected.Other |  Result.General : None Reported / Taken,Contributing Factors / Situations : Aircraft |  Contributing Factors / Situations : Company Policy |  Contributing Factors / Situations : Human Factors |  Contributing Factors / Situations : Staffing |  Primary Problem : Human Factors,"I was given a gate call tonight on a MAX 8 for a maintenance light. I am a probationary mechanic with helicopter experience and King Air experience. I have no 737 or big jet experience, none the less I went out with confidence in my abilities of reading the manuals and the few months of experience on the aircraft. AMT 2 another probationary mechanic with 4 months of experience on the aircraft came to help me out to the best of his abilities, He also has only 4 months of 737 experience. We arrived at the aircraft and I have personally never worked with the Multi-Functional Display (MFD) but tried to work my way through it. We found that there was a #2 thrust reverser fault. We were first going to troubleshoot the TR (Thrust Reverser) by cycling it and running a bite test. Unfortunately before we got to that we directed by the lead mechanic to defer the #2 TR. So we started looking into the deferral procedure for the #2 TR in which me and AMT 2 have never performed before. We started with adding the inboard TR lock to the #2 ENG then came back up the ramp to read more into the deferral procedure. We had the gate personnel hassling us on how long it will take along with the flight attendant who was very impatient with us. We then added safety wire to the #2 TR to restrict forward movement and then I got on the phone with maintenance control to verify all the procedures were done properly. We then downgraded the aircraft to CAT 1 status and proceeded to fill out the paperwork along with the aircraft log book paperwork. At this point we were approached by the gate attendant who asked ""how much longer"". We proceeded to say we are just doing paperwork and will let you know but then the pilot said ""well if you guys are just doing paperwork we can start boarding so by the time you are done the aircraft would be boarded"". We finished the paperwork and added the correct placarding and sent the aircraft on its way fully confidant for the safety of the passengers and crew. It wasn't till later in the shift that AMT 2 informed me that we never locked out the outboard TR with the lockout bolt. We immediately went to supervision to notify them of the situation. I contribute this to a lack of training on the aircraft. I have never deferred a thrust reverser in my career in aviation and felt thrown to the wolves. We were pressured by the flight crew and the gate personnel. We believed that we performed everything correctly but found a missed step in our deferral. Narrative: 2 A fellow coworker received a gate call for a Max 8 for a maintenance light. I decided to go with him and assist on the call. We both are on probation and have four months of 737 experience under our belts. After arriving at the aircraft, we notice there was a fault for the #2 Thrust Reversers. We decided to troubleshoot the T/R (Thrust Reverser) but was soon directed by our lead mechanic to defer the T/R. Neither one of us has encountered this problem before, so we started to look up the procedure for the deferral. First, we started the task by locking out the inboard TR. Next, we went back up to the jetway to continue reading the task. While reading and trying to figure out what to do next we were bombarded by flight attendants' and gate agent's impatiently asking questions on what is wrong, how much longer, why is it taking so long. Trying to handle the situation accordingly and professionally we continued with safety wiring the #2 TR handle to the stowed position. While my Fellow coworker was on the phone with Maintenance Control I was filling out the logbook and trying to see how to downgrade the aircraft to a CAT 1 status. During this process, we were still being asked questions about boarding and how long it would take. Our response was we will let them know. We are working as fast as the matter allows us. Then, the pilot told the gate agent that if they are doing the paperwork they can start boarding now. Thinking that we performed the job correctly we released the plane back to the crew. It wasn't until later when I read the task again to get a better understanding without feeling pressured, rushed or without proper guidance I recall that we did not pin the outboard T/R sleeve. I brought it to my coworker's attention, and we immediately notified our supervisors of our mistake.",Maintenance Technicians reported missing a procedural step when deferring a thrust reverser while the aircraft was at the gate prior to departure.,
2008358,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Aircraft Operator : Air Carrier |  Make Model Name : A300 |  Operating Under FAR Part : Part 121 |  Mission : Cargo / Freight / Delivery |  Flight Phase : Parked |  Maintenance Status.Maintenance Type : Unscheduled Maintenance |  Maintenance Status.Maintenance Items Involved : Inspection,,Location Of Person.Aircraft : X |  Location In Aircraft : Flight Deck |  Reporter Organization : Air Carrier |  Function.Maintenance : Technician |  ASRS Report Number.Accession Number : 2008358 |  Human Factors : Situational Awareness |  Human Factors : Training / Qualification,Anomaly.Deviation / Discrepancy - Procedural : Maintenance |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Detector.Person : Maintenance |  Result.General : Maintenance Action,Contributing Factors / Situations : Human Factors |  Primary Problem : Human Factors,"While helping preform a job card ( Aileron Servo Controls), I was in the cockpit when I noticed what appeared to be broken snap wire on the guarded switch to the agent discharge for the cargo compartment fire extinguisher. When I pulled on the guarded switch to check if the snap wire was indeed broken I accidentally discharged the #1 fire extinguisher bottle to the forward pit. I should have pulled the circuit breaker before checking the guard switch to prevent to fire extinguisher bottle from discharging.",Aircraft Maintenance Technician reported an inadvertent discharge of the cargo pit fire extinguisher bottle during a maintenance check.,
2010947,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Make Model Name : Beechjet 400 |  Flight Phase : Parked |  Maintenance Status.Maintenance Type : Scheduled Maintenance |  Maintenance Status.Maintenance Items Involved : Installation |  Maintenance Status.Maintenance Items Involved : Work Cards |  Maintenance Status.Maintenance Items Involved : Inspection,Aircraft Component : Exterior Pax/Crew Door |  Problem : Design,Location Of Person : Repair Facility |  Reporter Organization : Contracted Service |  Function.Maintenance : Lead Technician |  Qualification.Maintenance : Powerplant |  Qualification.Maintenance : Airframe |  ASRS Report Number.Accession Number : 2010947 |  Human Factors : Communication Breakdown |  Communication Breakdown.Party1 : Maintenance |  Communication Breakdown.Party2 : Maintenance Location Of Person : Repair Facility |  Reporter Organization : Contracted Service |  Function.Maintenance : Inspector |  Qualification.Maintenance : Airframe |  Qualification.Maintenance : Powerplant |  ASRS Report Number.Accession Number : 2011261,Anomaly.Aircraft Equipment Problem : Critical |  Anomaly.Deviation / Discrepancy - Procedural : Maintenance |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Anomaly.Deviation / Discrepancy - Procedural : FAR |  Detector.Person : Maintenance |  When Detected.Other |  Result.General : Work Refused,Contributing Factors / Situations : Aircraft |  Contributing Factors / Situations : Company Policy |  Contributing Factors / Situations : Human Factors |  Contributing Factors / Situations : Incorrect / Not Installed / Unavailable Part |  Primary Problem : Incorrect / Not Installed / Unavailable Part,"ZZZ Maintenance facility received main cabin door steps for a BeechJet 400XP. Prior to installing the steps on the aircraft the technician verified part number in the manufactures Illustrated Parts Catalog (IPC). It was found that the part number received was not effective for our serial number of aircraft. The technician notified maintenance control of this discrepancy in hopes that they had documentation from the manufacturer stating we could use the part number received. Maintenance control told the technician that we are allowed to use all the part numbers of stairs in the IPC no matter the effectivity. They could not provide any documentation showing this from the manufacturer. After phone calls from the manufacturer they stated they did not have any documentation showing all stairs were applicable to all serial number of aircraft. Maintenance control continued to try and pressure the technician into making a bad decision and install the stairs on the aircraft without documentation because they said and I quote ""We have been doing it like that for years."" This creates a bad culture, an unsafe aircraft condition and noncompliance with the manufacturer manual. Encourage maintenance control to comply with the manufacturer maintenance manual at all cost. Narrative: 2 BeechJet 400XP was in for routine/ non-routine maintenance at ZZZ. A set of air-stair- stairs were to be replaced and a lead maintenance noticed the Parts Number (PN) on the manual did not appear in the Illustrated Parts Catalog (IPC) Quality Control was alerted. I contacted Person A and was told to contact the Person B and another person. The answer was the following from Maintenance Controller. ""The IPC doesn't list an effectivity code for these stairs. They are approved for all 400 series aircraft. "" A maintenance lead and I challenged that answer and asked for something in writing that states we can install them on the aircraft. I responded with: ""We can't force the installer to sign the release for this event. If, the end user which determines airworthiness of a part (mechanic) discovers a conflict in traceability and proper identification of the part he's doing the right thing no matter the component. ""The manual is a document that provides the installer data to determine airworthiness, in this case the installer has conflicting data."" I/ we received the following answer from Maintenance Controller."" I'm done with this... rob the stair assembly or whatever parts need from Aircraft Y and get us a Color X aircraft please! "" Upon inspecting the stairs on the other aircraft (donor) before removal the PN was checked. It was discovered the effectivity is incorrect for the installation on the other aircraft. Maintenance and Quality Control both were assertive with Maintenance Controller, and did not install the stairs that were to be removed and installed on the original aircraft. We still had the effectivity issue. In the meantime, Quality Control and Maintenance at ZZZ started email chains with Company explaining the issue. Maintenance and Quality Control were looking for a solution not engaging in a back and forth. I, being involved in this issue began to gather information from individuals on the floor. A conversation took place between Maintenance Controller and a maintenance lead. Paraphrasing the leads words: [Instead of finding a solution they (Maintenance Controller) became more and more agitated to the point it was bordering on a threat, it was very uncomfortable. They said we're just making stuff up cuz we don't want to fix it. Keeping this short as possible the result was an inspector in ZZZ contacted Company and sorted out the effectivity and the correct assembly that appears in the IPC was shipped and installed. My over all concern is we are creating a hazard an opportunity for a safety escape. A quick example: a young mechanic and or an unassertive one feels the pressure installs an incorrect part or something of that nature because Maintenance Controller is ""demanding it be done"". The next time it could be a navigation download or incorrect push rod for a trim tab we must address this issue. Company must update their IPC for the 400 which is the root cause for this entire situation. Mechanics and pilots have a symbiotic relationship with one goal, preserving human life, by providing a safe product. Maintenance Controller must be trained/ counseled covering what authority they have and do not. Maintenance Controller does not have the final say, nor are in any position to demand anything that is obviously outside of FAR's, company manuals and Policy. Young mechanics need to be educated on the exact role of Maintenance Controller and understand their direction and leadership come from the Maintenance manager, production managers and leads not Maintenance Controller. Maintenance Controller does not make airworthy decisions for anyone, the techs, leads, and pilots make that decision. Maintenance Controller does however, release the aircraft back into service. However, that release is 100% predicated on the signatures, paperwork, and final determination of airworthiness completed by maintenance and Quality Control pilots.",Aircraft Maintenance Technician reported pressure from Maintenance Control department to install incorrect part onto airplane.,
2017070,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Aircraft Operator : Air Carrier |  Make Model Name : B737 Undifferentiated or Other Model |  Operating Under FAR Part : Part 121 |  Flight Phase : Parked |  Maintenance Status.Maintenance Type : Scheduled Maintenance |  Maintenance Status.Maintenance Items Involved : Repair,Aircraft Component : Powerplant Fuel System |  Aircraft Reference : X |  Problem : Design,Location Of Person : Hangar / Base |  Reporter Organization : Air Carrier |  Function.Maintenance : Technician |  ASRS Report Number.Accession Number : 2017070,Anomaly.Aircraft Equipment Problem : Critical |  Anomaly.Flight Deck / Cabin / Aircraft Event : Smoke / Fire / Fumes / Odor |  Anomaly.Deviation / Discrepancy - Procedural : Maintenance |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Detector.Person : Maintenance |  When Detected : Routine Inspection |  Result.General : Maintenance Action,Contributing Factors / Situations : Aircraft |  Contributing Factors / Situations : Company Policy |  Contributing Factors / Situations : Manuals |  Contributing Factors / Situations : Procedure |  Primary Problem : Procedure,"EA (Engineering Authorization) doesn’t require sufficient fuel nozzle leak check to prevent possible in-service engine fires. Nitrogen leak check with a leak test solution is a “CFM best practice”but has not been adopted by Company A in this EA, nor has Boeing included it in the remove and replace of the nozzles in their AMM (Aircraft Maintenance Manual). The nitro leak check can be found in the adjustment/test section just after fuel nozzle section. This nitrogen leak test needs to be included in the Leap 1B Fuel Nozzle post replacement work card. Proof is a recent incident. During the required “idle leak check”after full set of fuel nozzles were replaced, our technicians discovered an oil leak, but no fuel leak. After a 70% part power engine run using bag method at drain lines, a significant fuel leak developed in the hot section. Other report [from weeks ago] of hot section fires support the need to do a best practice leak check. In the interim while tooling and leak detector liquid are on order, I feel need to require EA be revised to require a high power engine run after fuel nozzles are replaced or proper nitrogen test equipment tooling and leak detector can be used. Suggested resolution - an immediate resolution. In the interim, while tooling and leak detector liquid are on delay due to availability of leak check - not owned - and tooling repairs needed, I relay this feedback from the technicians on the floor: Require EA be revised to require a high power engine run after fuel nozzles are replaced and a subsequent opening of the core cowls to inspect for fuel stains, leaks in manifold, and nozzles area.","B737 Technician reported that an EA (Engineering Authorization) does not have a sufficient fuel nozzle leak check process after fuel nozzle post-replacement work is completed. If the leak test is not performed and a potential problem goes undetected, the reporter states that it can lead to in-service engine fires.",
2017583,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Aircraft Operator : Air Carrier |  Make Model Name : Any Unknown or Unlisted Aircraft Manufacturer |  Operating Under FAR Part : Part 121 |  Mission : Passenger,,Location Of Person : Hangar / Base |  Reporter Organization : Air Carrier |  Function.Ground Personnel : Other / Unknown |  Function.Maintenance : Other / Unknown |  ASRS Report Number.Accession Number : 2017583 |  Human Factors : Workload |  Human Factors : Time Pressure,Anomaly.Deviation / Discrepancy - Procedural : Hazardous Material Violation |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Anomaly.Deviation / Discrepancy - Procedural : FAR |  Detector.Person : Other Person |  Result.General : None Reported / Taken,Contributing Factors / Situations : Human Factors |  Contributing Factors / Situations : Procedure |  Primary Problem : Human Factors,On Day 0 I was made aware of a Dangerous Goods Discrepancy for XX-XXXX-X-XXX. When completing a cycle count I was unaware that XX-XXXX-X-XXX was located inside the box with XX-XXXX-X-XXY. And at no time was I aware that there was any hazmat and I do not recall cycle counting any hazmat.,Air carrier Ground Personnel reported being notified of a box containing two Dangerous Goods (DG) components combined in one box. Reporter stated he was not aware of any DG in the box.,
2020865,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Aircraft Operator : Air Carrier |  Make Model Name : B737-800 |  Operating Under FAR Part : Part 121 |  Mission : Passenger |  Flight Phase : Parked,,Location Of Person : Hangar / Base |  Reporter Organization : Air Carrier |  Function.Maintenance : Parts / Stores Personnel |  Function.Maintenance : Lead Technician |  Qualification.Maintenance : Avionics |  Qualification.Maintenance : Powerplant |  Qualification.Maintenance : Airframe |  ASRS Report Number.Accession Number : 2020865 |  Human Factors : Workload |  Human Factors : Training / Qualification,Anomaly.Deviation / Discrepancy - Procedural : Hazardous Material Violation |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Anomaly.Deviation / Discrepancy - Procedural : FAR |  Detector.Person : Ground Personnel |  When Detected.Other |  Result.General : None Reported / Taken,Contributing Factors / Situations : Human Factors |  Contributing Factors / Situations : Software and Automation |  Contributing Factors / Situations : Procedure |  Primary Problem : Human Factors,"AWB (Airway Bill) XXX-XXXXXXXX was booked at cargo desk from ZZZ to ZZZ1 and on to ZZZ1 to ZZZZ. The 14-piece trek bicycle with 2 dg batteries was accepted by employee Person A. Then the piece was relocated to the DG rack in ZZZ by employee. The 14 piece with 2 DG was planned by Person B for flight Aircraft X in Cart X. The cart was then relocated to XX where the flight gate changed, and the ramp failed to relocate the freight and it was refused in the emergency response system at gate XXX. The cart was then transferred to back to ZZZ warehouse where Person C was tasked with replanning. When I replanned, it I looked in the cart compared the AWB and went to input the data. When manifesting the trip for Aircraft Y I pushed NOTOC the system read NO DG so I proceeded to plan the flight for on time departure. That flight then went to ZZZ1 were all 14 pieces was loaded into a cargo container by another employee where the undeclared DG went international to ZZZZ. Cause: When replanning a cart that the is being reused for a same destination the flight and different flight number the process is drag and drop. When a NOTOC is refused it then shows in the system as NO DG. indicating that NO DGs are on the flight. The manager showed me that there are 2 little window Icon the click on that opens new windows to show DGs. I asked why was this never covered in training for this position and she replied I will get back to you on this issue! Suggestions: Training on rebooking DG in new cargo system.","Maintenance Stores Personnel reported he mistakenly advanced a hazmat parcel as a ""No hazmat on board NOTOC"". This mistake resulted in the undocumented air transport of hazmat.",
2021140,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Aircraft Operator : Air Carrier |  Make Model Name : A320 |  Operating Under FAR Part : Part 121 |  Flight Phase : Parked,,Location Of Person : Repair Facility |  Reporter Organization : Air Carrier |  Function.Maintenance : Technician |  ASRS Report Number.Accession Number : 2021140 |  Human Factors : Training / Qualification |  Human Factors : Situational Awareness Location Of Person : Repair Facility |  Reporter Organization : Air Carrier |  Function.Maintenance : Technician |  ASRS Report Number.Accession Number : 2021141 |  Human Factors : Training / Qualification |  Human Factors : Situational Awareness |  | Person : 3 |  Location Of Person : Repair Facility |  Reporter Organization : Air Carrier |  Function.Maintenance : Technician |  ASRS Report Number.Accession Number : 2021142 |  Human Factors : Training / Qualification,Anomaly.Aircraft Equipment Problem : Critical |  Anomaly.Deviation / Discrepancy - Procedural : Maintenance |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Anomaly.Ground Event / Encounter : Fuel Issue |  Detector.Person : Maintenance |  When Detected : Routine Inspection |  Result.General : Maintenance Action,Contributing Factors / Situations : Aircraft |  Contributing Factors / Situations : Human Factors |  Contributing Factors / Situations : Procedure |  Primary Problem : Procedure,"Supervisor assigned job to a late part that arrived to aircraft. All three mechanics were unfamiliar with job but were aware of the danger of fuel spilling. Arrived at aircraft, pulled breakers before turning on power, and created logbook write-up shorty after. Turned on power, noticed it had 3000 fuel, and asked older mechanics about defueling but after looking into the AMM (Aircraft Maintenance Manual). There was nothing that had details about transferring fuel beforehand, so continued. Proceeded to use the tool referenced in the manual to unseat the valve and started turning. There was a little fuel dripping from the seal as we turned it counterclockwise but not nearly enough for the manual that showed maximum of one bucket, so we kept turning until it started to have a lot of resistance and then proceeded to open the drain plug because then manual said to after the turning stopped. The drain plug showed no signs of fuel so we kept turning because the manual said only in steps beforehand to check the fuel flowing from the valve only after taking the assembly off. As we were turning the valve the keeper lock fell off from the body and dropped into the bucket and then the valve gave out, dropping the cover into the bucket and with a lot of resistance. We managed to lock the valve back in partially. I then had one of the mechanics go tell the Lead that we needed help and we tried to get the valve back in but it was locked in place. To add to this all three mechanics were reading the manual independently and wasn’t following one single person reading off the manual. The reference to change the fuel pump had very vague points and at one point told the Mechanic after taking the fuel pump off to gauge the amount that would possible to work with. The manual should reference fuel transferring beforehand to prevent larger spills along with a maximum amount of fuel total before using a fuel truck to drain the fuel if there is too much to transfer all in one wing. The manual highly highlighted the danger of cutting safety wire in red but had other warning orange. Narrative: 2 When we were working on Aircraft X, my coworkers were changing left wing tank inboard boost pump. I was helping them after I had done my jobs on the aircraft. We followed AMM (Aircraft Maintenance Manual) steps to remove, but the boost pump is stuck and hard to remove. While I was reviewing the AMM to find a solution related to this problem, other technicians removed the pump but fuel was coming out from the bank. They tried to put the pump back to the tank to stop the fuel, but that did not work. So I helped them put the bump back, also did not work. Because we could not stop and fuel leak, I went to grab fuel leak kit to clean the fuel. At the same time we notified the supervisors. Narrative: 3 I was following fuel pump AMM (Aircraft Maintenance Manual) task removal. Once the pump was removed fuel came out after following step in accordance with AMM. Fuel was out on ramp. Then, we tried to reinstall pump but could not because retaining pin and spring assembly failed. I ask did we have to defuel but the AMM didn’t call for a defuel.","A320 technicians reported the Aircraft Maintenance Manual (AMM) did not clearly provide defuel instructions for a fuel pump removal procedure. After removing the pump, fuel began to leak, spilling all over on the ramp.",
2022066,mechanic.pdf (ASRS Maintenance Report Set),report_set:maintenance,,Reference : X |  Aircraft Operator : Air Carrier |  Make Model Name : A320 |  Crew Size.Number Of Crew : 2 |  Operating Under FAR Part : Part 121 |  Flight Phase : Parked,Aircraft Component : Turbine Engine Thrust Reverser |  Aircraft Reference : X |  Problem : Design,Location Of Person : Hangar / Base |  Reporter Organization : Air Carrier |  Function.Maintenance : Technician |  ASRS Report Number.Accession Number : 2022066,Anomaly.Aircraft Equipment Problem : Critical |  Anomaly.Deviation / Discrepancy - Procedural : Maintenance |  Anomaly.Deviation / Discrepancy - Procedural : Published Material / Policy |  Detector.Person : Maintenance |  Result.General : Maintenance Action,Contributing Factors / Situations : Aircraft |  Contributing Factors / Situations : Chart Or Publication |  Contributing Factors / Situations : Incorrect / Not Installed / Unavailable Part |  Contributing Factors / Situations : Manuals |  Contributing Factors / Situations : Procedure |  Primary Problem : Manuals,"Report subject - Left C-Duct Thrust Reverser Harness. Reason for report. To correct and update IPC (Illustrated Parts Catalog) parts lists, assembly instructions, and associated illustrations. Prevent wrong part number installation and possible malfunction of associated wiring and aircraft thrust reverser system. Engineering request to revise the associated work order has been made and corrections have been agreed to and process to revise has been initiated. Primary issue is for the backshell on Connector 905P. The harness installation requires a 90-degree backshell for Connector 905P per IPC. The 90- degree backshell provides less bend radius for the wire versus a straight backshell which would make it susceptible to higher stress and possible malfunction of the wire. Associated parts lists and illustrations show a straight backshell but should reflect a 90-degree backshell on all IPCs and illustrations. Connector 905P connects to the left thrust reverser stow and lock proximity sensor. This is a critical indication for the flight crew. Suggested resolution - work with Airbus, Company A, Company B to correct and update IPC parts lists, assembly instructions, and associated illustrations. Report subject - Right C-Duct Thrust Reverser Harness. Reason for report - to correct and update IPC (Illustrated Parts Catalog) parts lists, assembly instructions, and associated illustrations. Prevent wrong part number installation and possible malfunction of associated wiring and aircraft thrust reverser system. Engineering request to revise the associated work order has been made and corrections have been agreed to and process to revise has been initiated. Primary issue is for the backshell on Connector 904P. The harness installation requires a 45-degree backshell for Connector 904P per IPC. The 45-degree backshell provides less bend radius for the wire versus a straight or 90-degree backshell, which would make it susceptible to higher stress and possible malfunction of the wire. Associated parts lists and illustrations show a straight or 90-degree but should reflect a 45-degree backshell on all IPCs and illustrations. Connector 904P connects to the right thrust reverser stow and lock proximity sensor and is a critical indication for the flight crew. Suggested resolution - work with Airbus, Company A, Company B to correct and update IPC parts lists, assembly instructions, and associated illustrations.",A320 Maintenance Technician reported that the incorrect part was listed in the Illustrated Parts Catalog (IPC) and needs to be corrected and updated. The installation of the incorrect part as instructed in the current IPC could lead to possible malfunction of the aircraft’s thrust reverser system.,
